"customer_id","company_name","plan","segment","event_count"
"c_0157","Atlas Logistica","pro","Government","160"
"c_0086","Solar Alimentos","pro","MidMarket","146"
"c_0003","Horizonte Saude","pro","Government","130"
"c_0310","Vale Saude","enterprise","MidMarket","116"
"c_0332","Forte Logistica","pro","MidMarket","114"
"c_0372","Horizonte Educacao","pro","MidMarket","93"
"c_0118","Forte Industria","pro","Enterprise","84"
"c_0400","Lumen Consultoria","pro","MidMarket","79"
"c_0034","Vale Consultoria","pro","MidMarket","78"
"c_0116","Solar Sistemas","enterprise","Education","78"
