"plan","response_month","total_tickets","tickets_with_response","avg_hours_to_first_response","pct_no_response"
"desconhecido","2026-05-01 00:00:00.000000 UTC","2","2","7.7","0.0"
"enterprise","2026-05-01 00:00:00.000000 UTC","148","133","0.5","10.1"
"free","2026-05-01 00:00:00.000000 UTC","83","72","5.2","13.3"
"pro","2026-05-01 00:00:00.000000 UTC","140","118","2.0","15.7"
"desconhecido","2026-06-01 00:00:00.000000 UTC","8","8","4.2","0.0"
"enterprise","2026-06-01 00:00:00.000000 UTC","158","139","0.5","12.0"
"free","2026-06-01 00:00:00.000000 UTC","98","89","5.9","9.2"
"pro","2026-06-01 00:00:00.000000 UTC","199","176","2.0","11.6"
"desconhecido","2026-07-01 00:00:00.000000 UTC","4","4","5.6","0.0"
"enterprise","2026-07-01 00:00:00.000000 UTC","246","207","0.5","15.9"
"free","2026-07-01 00:00:00.000000 UTC","155","139","5.5","10.3"
"pro","2026-07-01 00:00:00.000000 UTC","292","246","1.9","15.8"
"desconhecido","2026-08-01 00:00:00.000000 UTC","6","4","3.0","33.3"
"enterprise","2026-08-01 00:00:00.000000 UTC","280","238","0.5","15.0"
"free","2026-08-01 00:00:00.000000 UTC","296","256","5.4","13.5"
"pro","2026-08-01 00:00:00.000000 UTC","485","405","1.9","16.5"
