"signup_month","activity_month","cohort_size","active_customers","retention_rate"
"2024-09-01","2024-09-01","6","0","0.0"
"2024-09-01","2024-10-01","6","0","0.0"
"2024-09-01","2024-11-01","6","0","0.0"
"2024-09-01","2024-12-01","6","0","0.0"
"2024-09-01","2025-01-01","6","0","0.0"
"2024-09-01","2025-02-01","6","0","0.0"
"2024-09-01","2025-03-01","6","0","0.0"
"2024-09-01","2025-04-01","6","0","0.0"
"2024-09-01","2025-05-01","6","0","0.0"
"2024-09-01","2025-06-01","6","0","0.0"
"2024-09-01","2025-07-01","6","0","0.0"
"2024-09-01","2025-08-01","6","0","0.0"
"2024-09-01","2025-09-01","6","0","0.0"
"2024-09-01","2025-10-01","6","0","0.0"
"2024-09-01","2025-11-01","6","0","0.0"
"2024-09-01","2025-12-01","6","0","0.0"
"2024-09-01","2026-01-01","6","0","0.0"
"2024-09-01","2026-02-01","6","0","0.0"
"2024-09-01","2026-03-01","6","0","0.0"
"2024-09-01","2026-04-01","6","0","0.0"
"2024-09-01","2026-05-01","6","5","83.3"
"2024-09-01","2026-06-01","6","5","83.3"
"2024-09-01","2026-07-01","6","6","100.0"
"2024-09-01","2026-08-01","6","6","100.0"
"2024-10-01","2024-10-01","15","0","0.0"
"2024-10-01","2024-11-01","15","0","0.0"
"2024-10-01","2024-12-01","15","0","0.0"
"2024-10-01","2025-01-01","15","0","0.0"
"2024-10-01","2025-02-01","15","0","0.0"
"2024-10-01","2025-03-01","15","0","0.0"
"2024-10-01","2025-04-01","15","0","0.0"
"2024-10-01","2025-05-01","15","0","0.0"
"2024-10-01","2025-06-01","15","0","0.0"
"2024-10-01","2025-07-01","15","0","0.0"
"2024-10-01","2025-08-01","15","0","0.0"
"2024-10-01","2025-09-01","15","0","0.0"
"2024-10-01","2025-10-01","15","0","0.0"
"2024-10-01","2025-11-01","15","0","0.0"
"2024-10-01","2025-12-01","15","0","0.0"
"2024-10-01","2026-01-01","15","0","0.0"
"2024-10-01","2026-02-01","15","0","0.0"
"2024-10-01","2026-03-01","15","0","0.0"
"2024-10-01","2026-04-01","15","0","0.0"
"2024-10-01","2026-05-01","15","15","100.0"
"2024-10-01","2026-06-01","15","15","100.0"
"2024-10-01","2026-07-01","15","15","100.0"
"2024-10-01","2026-08-01","15","15","100.0"
"2024-11-01","2024-11-01","5","0","0.0"
"2024-11-01","2024-12-01","5","0","0.0"
"2024-11-01","2025-01-01","5","0","0.0"
"2024-11-01","2025-02-01","5","0","0.0"
"2024-11-01","2025-03-01","5","0","0.0"
"2024-11-01","2025-04-01","5","0","0.0"
"2024-11-01","2025-05-01","5","0","0.0"
"2024-11-01","2025-06-01","5","0","0.0"
"2024-11-01","2025-07-01","5","0","0.0"
"2024-11-01","2025-08-01","5","0","0.0"
"2024-11-01","2025-09-01","5","0","0.0"
"2024-11-01","2025-10-01","5","0","0.0"
"2024-11-01","2025-11-01","5","0","0.0"
"2024-11-01","2025-12-01","5","0","0.0"
"2024-11-01","2026-01-01","5","0","0.0"
"2024-11-01","2026-02-01","5","0","0.0"
"2024-11-01","2026-03-01","5","0","0.0"
"2024-11-01","2026-04-01","5","0","0.0"
"2024-11-01","2026-05-01","5","5","100.0"
"2024-11-01","2026-06-01","5","5","100.0"
"2024-11-01","2026-07-01","5","5","100.0"
"2024-11-01","2026-08-01","5","5","100.0"
"2024-12-01","2024-12-01","10","0","0.0"
"2024-12-01","2025-01-01","10","0","0.0"
"2024-12-01","2025-02-01","10","0","0.0"
"2024-12-01","2025-03-01","10","0","0.0"
"2024-12-01","2025-04-01","10","0","0.0"
"2024-12-01","2025-05-01","10","0","0.0"
"2024-12-01","2025-06-01","10","0","0.0"
"2024-12-01","2025-07-01","10","0","0.0"
"2024-12-01","2025-08-01","10","0","0.0"
"2024-12-01","2025-09-01","10","0","0.0"
"2024-12-01","2025-10-01","10","0","0.0"
"2024-12-01","2025-11-01","10","0","0.0"
"2024-12-01","2025-12-01","10","0","0.0"
"2024-12-01","2026-01-01","10","0","0.0"
"2024-12-01","2026-02-01","10","0","0.0"
"2024-12-01","2026-03-01","10","0","0.0"
"2024-12-01","2026-04-01","10","0","0.0"
"2024-12-01","2026-05-01","10","10","100.0"
"2024-12-01","2026-06-01","10","10","100.0"
"2024-12-01","2026-07-01","10","10","100.0"
"2024-12-01","2026-08-01","10","10","100.0"
"2025-01-01","2025-01-01","10","0","0.0"
"2025-01-01","2025-02-01","10","0","0.0"
"2025-01-01","2025-03-01","10","0","0.0"
"2025-01-01","2025-04-01","10","0","0.0"
"2025-01-01","2025-05-01","10","0","0.0"
"2025-01-01","2025-06-01","10","0","0.0"
"2025-01-01","2025-07-01","10","0","0.0"
"2025-01-01","2025-08-01","10","0","0.0"
"2025-01-01","2025-09-01","10","0","0.0"
"2025-01-01","2025-10-01","10","0","0.0"
"2025-01-01","2025-11-01","10","0","0.0"
"2025-01-01","2025-12-01","10","0","0.0"
"2025-01-01","2026-01-01","10","0","0.0"
"2025-01-01","2026-02-01","10","0","0.0"
"2025-01-01","2026-03-01","10","0","0.0"
"2025-01-01","2026-04-01","10","0","0.0"
"2025-01-01","2026-05-01","10","10","100.0"
"2025-01-01","2026-06-01","10","10","100.0"
"2025-01-01","2026-07-01","10","10","100.0"
"2025-01-01","2026-08-01","10","9","90.0"
"2025-02-01","2025-02-01","9","0","0.0"
"2025-02-01","2025-03-01","9","0","0.0"
"2025-02-01","2025-04-01","9","0","0.0"
"2025-02-01","2025-05-01","9","0","0.0"
"2025-02-01","2025-06-01","9","0","0.0"
"2025-02-01","2025-07-01","9","0","0.0"
"2025-02-01","2025-08-01","9","0","0.0"
"2025-02-01","2025-09-01","9","0","0.0"
"2025-02-01","2025-10-01","9","0","0.0"
"2025-02-01","2025-11-01","9","0","0.0"
"2025-02-01","2025-12-01","9","0","0.0"
